"Height ""","Width """,Container,Material,Liner,Finish,Quantity,Cost
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,1000,0.2574
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,2500,0.1222
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,5000,0.0767
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,7500,0.0624
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,10000,0.05486
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,15000,0.04732
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,20000,0.044135
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,50000,0.036868
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,75000,0.034359
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,100000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,400000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,800000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,1000000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,1000,0.2574
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,2500,0.1222
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,5000,0.0767
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,7500,0.0624
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,10000,0.05486
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,15000,0.04732
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,20000,0.044135
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,50000,0.036868
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,75000,0.034359
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,100000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,400000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,800000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,1000000,0.033046
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,1000,0.2457
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,2500,0.11336
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,5000,0.06994
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,7500,0.055809
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,10000,0.04849
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,15000,0.04134
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,20000,0.03835
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,50000,0.031668
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,75000,0.029445
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,100000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,400000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,800000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,1000000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,1000,0.2457
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,2500,0.11336
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,5000,0.06994
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,7500,0.055809
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,10000,0.04849
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,15000,0.04134
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,20000,0.03835
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,50000,0.031668
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,75000,0.029445
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,100000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,400000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,800000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,1000000,0.028171
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,1000,0.2457
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,2500,0.11076
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,5000,0.0663
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,7500,0.051649
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,10000,0.04433
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,15000,0.037271
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,20000,0.033475
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,50000,0.027092
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,75000,0.025285
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,100000,0.024089
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,400000,0.024089
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,800000,0.024089
1,3,Pre-Roll Tube,Metal BOPP ,PET,Gloss,1000000,0.024089
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,1000,0.2457
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,2500,0.11076
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,5000,0.0663
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,7500,0.051649
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,10000,0.04433
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,15000,0.037271
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,20000,0.033475
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,50000,0.027092
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,75000,0.025285
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,100000,0.024089
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,400000,0.024089
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,800000,0.024089
1,3,Pre-Roll Tube,Metal BOPP ,PET,Matte,1000000,0.024089
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,1000,0.2366
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,2500,0.10348
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,5000,0.06162
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,7500,0.047151
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,10000,0.04017
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,15000,0.033111
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,20000,0.02938
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,50000,0.023348
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,75000,0.021827
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,100000,0.020787
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,400000,0.020787
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,800000,0.020787
1,3,Pre-Roll Tube,White BOPP,PET,Gloss,1000000,0.020787
1,3,Pre-Roll Tube,White BOPP,PET,Matte,1000,0.2366
1,3,Pre-Roll Tube,White BOPP,PET,Matte,2500,0.10348
1,3,Pre-Roll Tube,White BOPP,PET,Matte,5000,0.06162
1,3,Pre-Roll Tube,White BOPP,PET,Matte,7500,0.047151
1,3,Pre-Roll Tube,White BOPP,PET,Matte,10000,0.04017
1,3,Pre-Roll Tube,White BOPP,PET,Matte,15000,0.033111
1,3,Pre-Roll Tube,White BOPP,PET,Matte,20000,0.02938
1,3,Pre-Roll Tube,White BOPP,PET,Matte,50000,0.023348
1,3,Pre-Roll Tube,White BOPP,PET,Matte,75000,0.021827
1,3,Pre-Roll Tube,White BOPP,PET,Matte,100000,0.020787
1,3,Pre-Roll Tube,White BOPP,PET,Matte,400000,0.020787
1,3,Pre-Roll Tube,White BOPP,PET,Matte,800000,0.020787
1,3,Pre-Roll Tube,White BOPP,PET,Matte,1000000,0.020787
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,1000,0.2912
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,2500,0.15756
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,5000,0.11206
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,7500,0.099151
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,10000,0.09087
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,15000,0.08346
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,20000,0.07904
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,50000,0.068874
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,75000,0.066469
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,100000,0.064883
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,400000,0.064883
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,800000,0.064883
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Gloss,1000000,0.064883
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,1000,0.2912
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,2500,0.15756
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,5000,0.11206
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,7500,0.099151
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,10000,0.09087
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,15000,0.08346
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,20000,0.07904
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,50000,0.068874
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,75000,0.066469
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,100000,0.064883
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,400000,0.064883
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,800000,0.064883
1.5,6.5,1/8oz Jar,Metal BOPP ,PET,Matte,1000000,0.064883
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,1000,0.2743
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,2500,0.14144
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,5000,0.0988
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,7500,0.086151
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,10000,0.07852
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,15000,0.071331
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,20000,0.06721
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,50000,0.058136
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,75000,0.055965
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,100000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,400000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,800000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Gloss,1000000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,1000,0.2743
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,2500,0.14144
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,5000,0.0988
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,7500,0.086151
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,10000,0.07852
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,15000,0.071331
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,20000,0.06721
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,50000,0.058136
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,75000,0.055965
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,100000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,400000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,800000,0.05473
1.5,6.5,1/8oz Jar,White BOPP,PET,Matte,1000000,0.05473
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,1000,0.2925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,2500,0.15704
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,5000,0.1144
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,7500,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,10000,0.09282
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,15000,0.085189
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,20000,0.080925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,50000,0.070538
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,75000,0.068224
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,100000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,400000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,800000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Gloss,1000000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,1000,0.2925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,2500,0.15704
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,5000,0.1144
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,7500,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,10000,0.09282
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,15000,0.085189
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,20000,0.080925
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,50000,0.070538
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,75000,0.068224
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,100000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,400000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,800000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",Metal BOPP ,PET,Matte,1000000,0.06643
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,1000,0.2743
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,2500,0.14248
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,5000,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,7500,0.08788
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,10000,0.07995
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,15000,0.072709
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,20000,0.068835
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,50000,0.05941
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,75000,0.057473
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,100000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,400000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,800000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Gloss,1000000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,1000,0.2743
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,2500,0.14248
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,5000,0.10088
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,7500,0.08788
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,10000,0.07995
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,15000,0.072709
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,20000,0.068835
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,50000,0.05941
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,75000,0.057473
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,100000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,400000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,800000,0.055991
2.5,4,"Pouches/Bags, Medium Jars / Containers",White BOPP,PET,Matte,1000000,0.055991
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,1000,0.3172
3,4,Mylar Bag,Metal BOPP ,PET,Gloss,2500,0.18044
